項目,網址
詳全文：電玩《幻想三國誌》　跨界推小說漫畫,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240184/
詳全文：【有片】W飯店酒客衝突　男子遭劃傷送醫,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240006/
詳全文：救國團青年中心無法可管　賀陳旦：兩周內檢討,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240168/
詳全文：台幣貶2.1分　中午暫收30.193元,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240175/
詳全文：性騷風暴延燒知名慈善團體　數十人被迫辭職,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240165/
詳全文：陸元琪「都是負債」　1145字駁拿小胖所有財產,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240046/
詳全文：修繕量販店傳倒店　 員工控資方假協商真解雇,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240157/
詳全文：​綠能科技Q3毛利轉正　擺脫低潮,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240173/
詳全文：【慶富案】黃國昌再轟蔡慶年　「幫慶富作弊」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240154/
詳全文：安全帽戴太久　這毛病會找上你,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1238186/
詳全文：醫師納《勞基法》　藍委轟衛福部長不敢承諾,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240170/
詳全文：IBM將攜星展推首位企業金融AI助理,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240174/
詳全文：台北市網球中心　獲2017台灣建築獎,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240117/
詳全文：【健康問蘋果】手腳總是粗粗長繭　這樣做還你嫩皮,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1237342/
詳全文：國中校長 ：教師工作權與學生受教權，孰重？,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240054/
詳全文：想愛又怕受傷害　他用分手金句逼退女方,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240097/
詳全文：小甜甜譙廠商盜用肖像　「貼肚臍怎麼可能會瘦」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240148/
詳全文：​深耕太陽能市場　碩禾獲杜邦非專屬授權協議,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240149/
詳全文：​虹揚-KY收購台灣玻封電子70%股權　擴大二極體版圖,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240163/
詳全文：【K律師論點】再怎麼厲害　還是要念點書的,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240139/
詳全文：大聲喧嘩.沒禮貌　韓調查：南韓人出遊水準偏低,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240144/
詳全文：龍獅虎象球星12月OB賽　2個月前就開始備戰,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240114/
詳全文：三寶這樣逆向騎車　目擊駕駛驚呆：哇操！,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240140/
詳全文：【全紀錄】NBA今日4場賽事　雷霆威少27分勝小牛,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240152/
詳全文：不滿林聰賢逕行向違規農舍課稅　藍委要求監院彈劾,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240129/
詳全文：客委會主委不能講客語！陳為廷怒了：回到戒嚴？,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240150/
詳全文：接見APEC代表團　蔡英文： 對話與交流是各國共同期待,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240134/
詳全文：張競：軍容雖壯盛　曝露民族自信心不足,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240146/
詳全文：深田恭子沖繩秀肌情　性感露背自然美,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240115/
詳全文：【有片】​八百壯士抗議年金改革　警方出動霹靂小組待命  ,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240133/
詳全文：騎樓違規擺攤常遭檢舉　店家控訴所長上門恐嚇,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240145/
